latency,numerals,selected,correct,RT,time,name,age,grid
1000,3,2_6_8,2_6_8,1,2012-10-02 20:56:35.575768,FFS,32,2-3_0-7_4-7
1000,4,1_5_6_7,1_5_6_7,1,2012-10-02 20:56:41.259134,FFS,32,2-5_3-0_1-5_1-7
1000,5,1_2_3_4_8,1_2_3_4_8,1,2012-10-02 20:56:53.779570,FFS,32,2-3_1-7_0-5_1-3_4-2
1000,3,7_4_9,4_7_9,1,2012-10-02 20:57:13.875637,HCD,24,2-5_4-1_3-7
1000,4,7_2_9_1,1_2_7_9,1,2012-10-02 20:57:55.234537,HCD,24,4-7_2-2_4-1_2-0
1000,5,1_4_3_8_6,1_3_4_6_8,1,2012-10-02 20:57:59.735850,HCD,24,2-2_1-6_1-5_4-0_4-5
1000,5,9_7_3_8_4,3_4_7_8_9,1,2012-10-02 20:58:16.631391,HCD,24,3-3_1-1_3-4_1-3_2-4
1000,5,2_8_1_6_7,1_2_6_7_8,1,2012-10-02 20:58:22.553230,HCD,24,0-4_3-2_0-6_0-0_1-5
1000,5,7_8_9_6_3,3_6_7_8_9,1,2012-10-02 20:58:31.232806,HCD,24,0-7_0-3_2-0_3-2_3-3
1000,3,3_4_7,3_4_7,1,2012-10-17 16:05:40.021412,BBN,66,3-3_2-0_0-7
1000,4,2_7_8_9,2_7_8_9,1,2012-10-17 16:05:45.140970,BBN,66,2-4_0-2_0-5_2-0
1000,5,3_4_5_6_9,3_4_5_6_9,1,2012-10-17 16:05:51.990407,BBN,66,1-7_4-0_4-2_0-4_2-6
1000,5,1_2_4_6_8,1_2_4_6_8,1,2012-10-17 16:05:57.273110,BBN,66,2-7_4-0_4-3_0-2_2-2
600,5,1_4_7_6_8,1_4_6_7_8,1,2012-10-17 16:06:01.858070,BBN,66,3-4_2-3_4-4_4-2_1-5
600,5,1_4_7_8_6,1_4_6_7_8,1,2012-10-17 16:06:06.375107,BBN,66,3-3_4-1_0-6_4-3_1-0
600,5,1_2_3_5_9,1_2_3_5_9,1,2012-10-17 16:06:10.705915,BBN,66,4-6_4-4_3-5_1-0_4-3
400,5,2_8_4_7_9,2_4_7_8_9,1,2012-10-17 16:06:15.550889,BBN,66,4-5_1-4_3-3_0-0_2-5
1000,3,4_5_6,4_5_6,1,2012-10-17 16:13:08.856988,NBF,33,3-2_1-6_1-3
1000,4,2_5_7_9,2_5_7_9,1,2012-10-17 16:13:14.373480,NBF,33,0-4_4-4_1-2_3-6
1000,5,1_2_4_7_9,1_2_4_7_9,1,2012-10-17 16:13:19.153004,NBF,33,0-4_3-3_0-6_4-7_2-3
1000,5,2_6_8_7_9,2_6_7_8_9,1,2012-10-17 16:13:24.838451,NBF,33,1-2_3-2_3-4_4-4_1-6
1000,5,1_4_6_8_9,1_4_6_8_9,1,2012-10-17 16:13:30.279733,NBF,33,0-6_1-1_2-2_0-0_4-5
600,5,4_8_3_7_9,3_4_7_8_9,1,2012-10-17 16:13:35.581317,NBF,33,3-1_2-3_1-7_3-2_3-0
600,5,2_6_7_8_4,2_4_6_7_8,1,2012-10-17 16:13:39.824454,NBF,33,4-4_0-7_4-5_2-4_1-4
1000,3,1_2_4,1_2_4,1,2012-10-17 16:15:01.529664,UIO,33,1-7_4-3_3-1
1000,4,1_2_5_6,1_2_5_6,1,2012-10-17 16:15:05.710975,UIO,33,3-3_1-7_0-7_2-2
1000,5,3_5_7_4_8,3_4_5_7_8,1,2012-10-17 16:15:10.997120,UIO,33,4-4_2-1_3-3_4-0_3-0
1000,5,1_5_6_7_9,1_5_6_7_9,1,2012-10-17 16:15:16.638443,UIO,33,0-1_4-7_2-5_0-5_4-0
600,5,5_2_3_4_7,2_3_4_5_7,1,2012-10-17 16:15:20.954288,UIO,33,1-7_0-5_1-2_4-6_3-3
600,5,1_2_3_5_7,1_2_3_5_7,1,2012-10-17 16:15:24.652769,UIO,33,4-3_1-6_0-2_1-2_4-1
400,5,2_5_4_7_9,2_4_5_7_9,1,2012-10-17 16:15:28.714797,UIO,33,3-7_3-2_4-4_3-5_2-1
400,5,1_2_4_3_7,1_2_3_4_7,1,2012-10-17 16:15:32.875553,UIO,33,3-0_4-0_0-0_4-7_3-2
1000,3,2_4_6,2_4_6,1,2012-10-17 16:27:01.425593,HHH,33,2-5_3-4_2-7
1000,4,5_4_6_9,4_5_6_9,1,2012-10-17 16:27:33.791535,HHH,33,4-3_3-3_3-6_1-1
1000,5,2_4_5_6_7,2_4_5_6_7,1,2012-10-17 16:27:38.306682,HHH,33,4-0_3-3_2-4_1-7_1-2
1000,5,4_5_6_9_8,4_5_6_8_9,1,2012-10-17 16:27:42.628284,HHH,33,3-1_4-1_3-4_2-7_3-6
1000,5,1_2_3_7_9,1_2_3_7_9,1,2012-10-17 16:27:47.490381,HHH,33,3-5_0-5_1-6_3-6_0-3
600,5,2_5_3_6_8,2_3_5_6_8,1,2012-10-17 16:27:51.512289,HHH,33,2-1_3-5_3-4_3-1_0-7
600,5,1_3_5_2_9,1_2_3_5_9,1,2012-10-17 16:27:55.573493,HHH,33,2-3_0-6_4-5_2-6_3-3
600,5,5_6_3_8_9,3_5_6_8_9,1,2012-10-17 16:28:06.031494,KKK,33,3-4_0-1_2-1_3-5_4-6
600,5,1_2_3_8_7,1_2_3_7_8,1,2012-10-17 16:28:10.231135,KKK,33,2-3_1-5_2-0_3-2_1-3
600,5,2_3_4_8_5,2_3_4_5_8,1,2012-10-17 16:28:14.311439,KKK,33,4-1_4-3_0-0_0-5_2-4
1000,3,2_3_4,2_3_4,1,2012-10-18 13:29:55.857757,TTT,33,0-3_2-1_2-5
1000,4,1_3_5_6,1_3_5_6,1,2012-10-18 13:30:01.917593,TTT,33,4-2_1-1_1-2_2-0
1000,5,2_3_4_9_5,2_3_4_5_9,1,2012-10-18 13:30:08.994256,TTT,33,2-7_3-2_2-6_0-6_0-5
1000,5,3_4_5_6_8,3_4_5_6_8,1,2012-10-18 13:30:15.899225,TTT,33,1-4_2-3_4-1_2-1_1-0
600,5,1_2_7_5_9,1_2_5_7_9,1,2012-10-18 13:30:22.930761,TTT,33,3-4_0-0_2-7_0-7_2-4
1000,3,2_8_3,2_3_8,1,2012-10-18 13:39:25.817581,YYI,33,0-4_3-4_2-3
1000,4,2_3_5_9,2_3_5_9,1,2012-10-18 13:39:29.774288,YYI,33,0-5_4-2_2-0_1-2
1000,5,2_4_6_7_9,2_4_6_7_9,1,2012-10-18 13:39:34.317637,YYI,33,1-7_4-2_0-2_0-3_1-6
1000,9,1_2_6_7_4_3_8_9_5,1_2_3_4_5_6_7_8_9,1,2012-10-18 13:39:39.806172,YYI,33,2-1_2-6_0-2_0-5_4-5_1-5_0-4_1-1_0-7
1000,4,1_3_7_9,1_3_7_9,1,2012-10-18 13:39:52.867585,YYI,33,1-6_4-0_3-5_0-2
600,4,2_5_9_8,2_5_8_9,1,2012-10-18 13:39:57.106012,YYI,33,3-6_4-0_2-4_3-0
600,4,1_4_6_9,1_4_6_9,1,2012-10-18 13:40:00.849615,YYI,33,3-2_3-6_2-5_1-0
400,4,1_6_8_9,1_6_8_9,1,2012-10-18 13:40:04.308909,YYI,33,1-3_0-4_0-2_2-7
300,4,2_5_1_3,1_2_3_5,1,2012-10-18 13:40:07.573584,YYI,33,3-0_3-3_3-5_1-1
300,4,9_7_1_4,1_4_7_9,1,2012-10-18 13:40:11.576987,YYI,33,2-2_2-6_4-7_1-0
1000,3,2_7_9,2_7_9,1,2012-10-18 13:46:55.485885,TTT,33,2-3_2-6_2-7
1000,3,2_8_9,2_8_9,1,2012-10-18 14:43:45.372797,AAS,22,3-0_2-6_0-3
1000,4,4_6_7_8,4_6_7_8,1,2012-10-18 14:43:51.459689,AAS,22,4-5_4-3_2-2_1-0
1000,5,1_2_3_9_8,1_2_3_8_9,1,2012-10-18 14:43:56.622172,AAS,22,3-1_0-4_2-0_0-7_0-0
1000,9,1_2_3_5_7_9_6_4_8,1_2_3_4_5_6_7_8_9,1,2012-10-18 14:44:03.194541,AAS,22,3-6_1-5_3-7_1-0_0-4_1-1_4-2_4-0_4-6
1000,4,1_2_4_6,1_2_4_6,1,2012-10-18 14:44:07.234037,AAS,22,3-2_4-1_3-5_2-7
600,4,1_4_5_7,1_4_5_7,1,2012-10-18 14:44:11.214940,AAS,22,3-0_4-2_3-1_1-1
400,4,1_3_4_8,1_3_4_8,1,2012-10-18 14:44:14.916315,AAS,22,0-4_1-4_4-0_0-6
300,4,5_6_4_7,4_5_6_7,1,2012-10-18 14:44:19.159027,AAS,22,4-1_1-2_1-3_2-5
300,4,2_7_6_9,2_6_7_9,1,2012-10-18 14:44:22.780058,AAS,22,2-7_0-5_3-6_1-3
300,4,1_5_6_9,1_5_6_9,1,2012-10-18 14:44:26.179243,AAS,22,3-7_2-1_1-3_3-4
210,4,3_9_7_5,3_5_7_9,1,2012-10-18 14:44:29.909132,AAS,22,2-4_3-4_2-3_0-5
1000,3,1_4_9,1_4_9,1,2012-10-18 14:46:58.250352,IIO,33,3-3_0-5_4-5
1000,4,4_9_7_8,4_7_8_9,1,2012-10-18 14:47:02.553560,IIO,33,0-5_1-1_4-4_1-5
1000,5,1_2_3_6_8,1_2_3_6_8,1,2012-10-18 14:47:06.755107,IIO,33,4-6_4-7_4-3_1-6_1-5
1000,9,1_2_4_5_8_6_9_7_3,1_2_3_4_5_6_7_8_9,1,2012-10-18 14:47:12.465026,IIO,33,0-4_1-4_3-0_3-4_3-2_2-1_1-0_1-3_0-3
1000,4,1_2_6_9,1_2_6_9,1,2012-10-18 14:47:16.204591,IIO,33,2-2_2-5_2-7_3-5
600,4,1_5_6_9,1_5_6_9,1,2012-10-18 14:47:19.688496,IIO,33,2-7_1-5_3-6_2-1
400,4,1_3_6_7,1_3_6_7,1,2012-10-18 14:47:23.491481,IIO,33,2-7_4-4_1-6_2-3
300,4,4_9_5_6,4_5_6_9,1,2012-10-18 14:47:27.655548,IIO,33,0-7_2-4_0-6_1-0
300,4,2_4_3_6,2_3_4_6,1,2012-10-18 14:47:31.376364,IIO,33,4-5_1-0_0-3_3-6
300,4,2_3_5_7,2_3_5_7,1,2012-10-18 14:47:35.802984,IIO,33,2-4_3-2_2-2_1-5
210,4,1_3_9_4,1_3_4_9,1,2012-10-18 14:47:38.959136,IIO,33,1-3_1-1_4-2_2-1
1000,3,1_9_8,1_8_9,1,2012-10-18 14:48:46.573304,YYO,33,0-3_2-6_1-4
1000,4,1_5_9_6,1_5_6_9,1,2012-10-18 14:48:51.672067,YYO,33,1-7_2-2_0-0_1-1
1000,5,1_9_8_6_7,1_6_7_8_9,1,2012-10-18 14:48:56.409208,YYO,33,4-2_0-2_0-1_3-2_3-3
1000,9,1_2_6_7_5_8_4_3_9,1_2_3_4_5_6_7_8_9,1,2012-10-18 14:49:03.798533,YYO,33,1-6_1-4_1-1_3-0_4-7_0-5_0-6_2-3_0-0
1000,4,1_3_7_9,1_3_7_9,1,2012-10-18 14:49:08.562999,YYO,33,0-0_0-1_1-6_3-6
600,4,5_7_8_9,5_7_8_9,1,2012-10-18 14:49:13.812564,YYO,33,1-4_3-5_1-6_3-3
400,4,1_3_6_8,1_3_6_8,1,2012-10-18 14:49:17.912314,YYO,33,4-1_2-3_1-7_0-5
300,4,2_4_6_8,2_4_6_8,1,2012-10-18 14:49:22.296731,YYO,33,2-3_0-4_2-7_2-0
210,4,3_4_5_7,3_4_5_7,1,2012-10-18 14:49:27.147267,YYO,33,3-7_0-4_3-4_2-0
1000,5,1_2_5_7_8,1_2_5_7_8,1,2012-10-18 14:49:31.770427,YYO,33,2-1_2-3_3-5_3-6_3-7
600,5,1_3_4_9_6,1_3_4_6_9,1,2012-10-18 14:49:36.692303,YYO,33,3-0_2-5_4-7_4-2_1-4
600,5,1_3_4_5_7,1_3_4_5_7,1,2012-10-18 14:49:41.097770,YYO,33,1-4_4-4_3-7_3-4_3-3
400,5,5_9_3_1_4,1_3_4_5_9,1,2012-10-18 14:49:46.040290,YYO,33,0-5_2-1_0-6_4-2_1-3
400,5,1_7_9_3_4,1_3_4_7_9,1,2012-10-18 14:49:50.465360,YYO,33,2-4_4-2_0-7_1-1_2-1
1000,3,3_7_8,3_7_8,1,2012-10-18 15:01:05.091421,HNX,33,4-2_2-7_2-5
1000,4,1_4_6_9,1_4_6_9,1,2012-10-18 15:01:09.430426,HNX,33,2-3_3-2_2-1_0-2
1000,3,3_4_5,3_4_5,1,2012-10-18 15:05:12.993784,RJH,33,4-6_2-3_3-7
1000,4,1_2_3_7,1_2_3_7,1,2012-10-18 15:05:16.953662,RJH,33,4-5_3-1_3-0_1-0
1000,5,1_3_2_6_8,1_2_3_6_8,1,2012-10-18 15:05:21.191130,RJH,33,0-4_3-6_1-4_3-7_0-2
1000,9,1_2_3_4_8_9_7_6_5,1_2_3_4_5_6_7_8_9,1,2012-10-18 15:05:28.606935,RJH,33,1-2_4-2_4-5_1-6_1-3_4-7_4-0_2-4_3-5
1000,4,1_2_4_6,1_2_4_6,1,2012-10-18 15:05:34.188883,RJH,33,4-5_1-5_0-0_2-3
600,4,1_3_4_7,1_3_4_7,1,2012-10-18 15:05:38.089615,RJH,33,0-6_2-0_1-2_3-2
400,4,4_3_7_9,3_4_7_9,1,2012-10-18 15:05:42.510283,RJH,33,3-0_4-6_4-7_2-0
400,4,1_2_4_7,1_2_4_7,1,2012-10-18 15:05:46.170918,RJH,33,1-5_4-6_0-5_2-3
300,4,1_3_5_6,1_3_5_6,1,2012-10-18 15:05:49.631952,RJH,33,1-5_0-0_1-1_2-3
210,4,5_3_6_7,3_5_6_7,1,2012-10-18 15:05:52.983014,RJH,33,3-7_3-6_3-5_4-3
210,4,1_3_5_4,1_3_4_5,1,2012-10-18 15:05:56.287379,RJH,33,4-3_4-6_0-2_2-2
1000,3,2_6_8,2_6_8,1,2012-10-19 10:58:06.787038,SEA,27,2-0_0-0_0-2
1000,4,1_2_7_8,1_2_7_8,1,2012-10-19 10:58:31.152931,SEA,27,3-3_0-1_4-6_4-3
1000,5,2_3_9_8_6,2_3_6_8_9,1,2012-10-19 10:58:42.205304,SEA,27,2-1_2-5_4-0_3-6_0-5
1000,9,1_2_8_4_6_7_5_9_3,1_2_3_4_5_6_7_8_9,1,2012-10-19 10:58:50.097107,SEA,27,2-7_0-1_1-0_1-7_3-4_2-5_3-6_1-6_4-4
1000,4,1_3_4_5,1_3_4_5,1,2012-10-19 10:58:55.474885,SEA,27,3-5_4-5_0-6_1-3
600,4,2_9_8_5,2_5_8_9,1,2012-10-19 10:59:02.941257,SEA,27,0-3_3-1_0-4_1-3
600,4,2_4_7_6,2_4_6_7,1,2012-10-19 10:59:07.442147,SEA,27,4-2_1-2_0-7_3-0
600,4,1_2_8_9,1_2_8_9,1,2012-10-19 10:59:12.349249,SEA,27,3-3_2-4_1-7_4-4
400,4,6_8_4_9,4_6_8_9,1,2012-10-19 10:59:16.833958,SEA,27,2-6_0-2_1-6_0-0
1000,3,6_7_8,6_7_8,1,2012-10-19 11:21:19.427856,ZFY,33,0-3_2-5_2-6
1000,4,4_5_8_9,4_5_8_9,1,2012-10-19 11:21:23.365922,ZFY,33,2-5_4-1_0-6_0-4
1000,5,1_2_5_6_8,1_2_5_6_8,1,2012-10-19 11:21:27.489611,ZFY,33,3-7_0-0_2-4_3-5_4-3
1000,9,1_2_4_9_8_7_6_3_5,1_2_3_4_5_6_7_8_9,1,2012-10-19 11:21:32.858126,ZFY,33,2-5_1-6_2-3_1-5_2-2_4-7_1-3_0-3_0-6
1000,4,4_6_7_9,4_6_7_9,1,2012-10-19 11:21:37.433624,ZFY,33,1-7_3-3_0-0_0-5
600,4,9_6_5_4,4_5_6_9,1,2012-10-19 11:21:40.973481,ZFY,33,3-2_0-6_2-6_4-6
600,4,9_6_4_3,3_4_6_9,1,2012-10-19 11:21:45.180178,ZFY,33,2-7_3-4_2-4_0-2
600,4,8_7_2_1,1_2_7_8,1,2012-10-19 11:21:48.866318,ZFY,33,1-4_2-1_3-3_1-5
600,4,9_6_2_4,2_4_6_9,1,2012-10-19 11:35:36.434302,LIZ,29,0-5_0-7_2-1_0-0
600,4,3_4_5_1,1_3_4_5,1,2012-10-19 11:35:53.103583,LIZ,29,0-7_1-0_4-5_3-6
600,4,2_3_5_7,2_3_5_7,1,2012-10-19 11:36:23.563448,LIZ,29,0-6_0-1_2-4_2-7
1000,4,1_3_4_6,1_3_4_6,1,2012-10-19 11:36:29.531071,LIZ,29,4-5_3-0_1-3_3-5
1000,5,3_4_5_7_8,3_4_5_7_8,1,2012-10-19 11:36:34.473401,LIZ,29,1-6_4-5_2-0_0-1_0-3
1000,9,1_2_9_3_4_5_6_8_7,1_2_3_4_5_6_7_8_9,1,2012-10-19 11:36:41.859879,LIZ,29,3-0_3-3_1-2_3-1_2-3_4-4_0-5_1-4_4-0
1000,4,3_4_7_8,3_4_7_8,1,2012-10-19 11:36:47.106327,LIZ,29,2-3_1-1_0-3_1-6
600,4,6_7_5_9,5_6_7_9,1,2012-10-19 11:36:52.534008,LIZ,29,0-0_4-3_3-2_0-1
600,4,1_3_8_9,1_3_8_9,1,2012-10-19 11:37:25.507660,LIZ,29,4-1_2-2_0-5_0-3
1000,4,1_3_5_8,1_3_5_8,1,2012-10-19 11:37:30.150251,LIZ,29,0-7_4-7_0-1_1-2
1000,5,1_4_5_8_9,1_4_5_8_9,1,2012-10-19 11:37:35.557681,LIZ,29,3-1_2-5_2-7_4-6_0-4
1000,9,1_2_3_6_8_5_7_4_9,1_2_3_4_5_6_7_8_9,1,2012-10-19 11:37:43.483934,LIZ,29,3-7_1-1_0-0_3-4_1-7_3-2_4-7_1-5_2-2
1000,4,1_6_8_9,1_6_8_9,1,2012-10-19 11:37:48.726719,LIZ,29,0-5_4-3_1-3_1-1
600,4,1_3_8_9,1_3_8_9,1,2012-10-19 11:37:53.429970,LIZ,29,2-3_0-3_0-7_4-5
400,4,2_3_4_7,2_3_4_7,1,2012-10-19 11:37:57.632000,LIZ,29,3-1_1-0_1-6_1-3
300,4,4_6_7_8,4_6_7_8,1,2012-10-19 11:38:02.013880,LIZ,29,0-5_2-4_4-0_1-7
210,4,2_3_5_9,2_3_5_9,1,2012-10-19 11:38:07.190895,LIZ,29,3-4_0-7_1-3_1-4
1000,5,2_4_5_8_9,2_4_5_8_9,1,2012-10-19 11:38:12.595448,LIZ,29,4-7_0-7_2-1_4-6_0-5
600,5,1_3_4_5_7,1_3_4_5_7,1,2012-10-19 11:38:18.142062,LIZ,29,4-5_4-6_1-6_0-2_3-1
400,5,4_5_6_7_8,4_5_6_7_8,1,2012-10-19 11:38:25.658965,LIZ,29,0-5_0-0_4-3_1-2_0-7
300,5,1_3_4_7_8,1_3_4_7_8,1,2012-10-19 11:38:30.904692,LIZ,29,4-4_2-6_3-3_4-7_2-0
210,5,1_3_8_6_4,1_3_4_6_8,1,2012-10-19 11:38:37.561290,LIZ,29,2-3_2-0_3-0_1-6_0-5
1000,3,2_7_9,2_7_9,1,2012-10-19 11:54:19.969694,UUU,33,3-4_2-2_1-0
1000,4,3_5_7_8,3_5_7_8,1,2012-10-19 11:54:24.849368,UUU,33,4-5_2-5_0-5_0-1
1000,5,2_8_9_5_7,2_5_7_8_9,1,2012-10-19 11:54:30.072946,UUU,33,0-3_4-1_4-4_0-2_1-1
1000,9,2_8_1_4_7_3_5_6_9,1_2_3_4_5_6_7_8_9,1,2012-10-19 11:54:37.386260,UUU,33,0-0_4-4_1-1_3-0_4-2_1-5_4-0_0-1_3-6
1000,4,1_3_6_9,1_3_6_9,1,2012-10-19 11:54:41.382674,UUU,33,2-4_2-2_2-7_3-0
600,4,1_3_7_8,1_3_7_8,1,2012-10-19 11:54:46.814625,UUU,33,2-6_3-1_1-1_2-4
400,4,2_9_8_3,2_3_8_9,1,2012-10-19 11:54:50.999251,UUU,33,4-4_2-6_4-6_2-3
400,4,7_4_1_3,1_3_4_7,1,2012-10-19 11:54:55.543469,UUU,33,0-5_2-1_1-5_1-3
400,4,1_4_5_7,1_4_5_7,1,2012-10-19 11:54:59.676981,UUU,33,4-0_3-1_1-2_2-7
300,4,6_9_2_5,2_5_6_9,1,2012-10-19 11:55:03.097444,UUU,33,4-5_1-1_3-4_3-7
300,4,1_7_4_6,1_4_6_7,1,2012-10-19 11:55:21.608693,SEA,33,4-2_0-2_4-6_1-0
300,4,1_7_9_6,1_6_7_9,1,2012-10-19 11:55:24.988052,SEA,33,4-5_3-3_0-2_0-4
300,4,3_9_6_4,3_4_6_9,1,2012-10-19 11:55:28.127258,SEA,33,1-2_0-5_1-1_2-3
