latency,numerals,selected,correct,RT,time,name,age,grid
300,4,2_3_5_4,2_3_4_5,1,2012-10-19 11:55:46.422329,YYY,33,2-5_1-6_4-4_0-6
300,4,5_7_3_9,3_5_7_9,1,2012-10-19 11:55:49.176759,YYY,33,1-2_1-6_2-6_0-2
300,4,5_4_2_1,1_2_4_5,1,2012-10-19 11:55:52.394632,YYY,33,0-1_2-1_3-7_3-5
1000,3,1_5_8,1_5_8,1,2012-10-19 11:59:33.263436,TTT,33,3-3_0-7_1-4
1000,4,4_6_8_9,4_6_8_9,1,2012-10-19 11:59:37.004675,TTT,33,1-5_1-1_2-6_4-1
1000,5,6_8_4_7_9,4_6_7_8_9,1,2012-10-19 11:59:40.800396,TTT,33,2-4_2-0_1-5_0-0_4-0
1000,9,1_2_3_6_9_4_7_5_8,1_2_3_4_5_6_7_8_9,1,2012-10-19 11:59:46.043490,TTT,33,3-2_0-6_0-0_4-4_2-7_3-3_2-6_1-1_3-4
1000,4,7_4_9_8,4_7_8_9,1,2012-10-19 11:59:51.872351,TTT,33,1-0_0-1_4-7_2-0
1000,4,6_8_5_2,2_5_6_8,1,2012-10-19 11:59:59.143322,TTT,33,4-4_1-4_3-5_3-7
1000,4,9_4_2_3,2_3_4_9,1,2012-10-19 12:00:03.307008,TTT,33,0-1_2-5_3-0_4-7
1000,4,2_3_7_5,2_3_5_7,1,2012-10-19 12:00:17.595538,LLL,99,3-1_3-5_1-0_1-5
1000,4,2_3_7_8,2_3_7_8,1,2012-10-19 12:00:21.818652,LLL,99,4-0_0-1_0-5_3-7
1000,4,2_9_7_8,2_7_8_9,1,2012-10-19 12:00:25.598011,LLL,99,4-5_3-4_2-4_4-4
1000,5,1_2_7_4_6,1_2_4_6_7,1,2012-10-19 12:00:29.541485,LLL,99,2-7_0-7_0-1_0-0_0-3
1000,9,1_2_3_9_4_8_6_5_7,1_2_3_4_5_6_7_8_9,1,2012-10-19 12:00:35.294723,LLL,99,1-3_4-6_3-7_2-6_3-1_3-2_0-0_4-2_2-7
1000,4,1_3_4_8,1_3_4_8,1,2012-10-19 12:00:39.195831,LLL,99,0-5_1-0_1-5_0-4
600,4,6_8_3_1,1_3_6_8,1,2012-10-19 12:00:43.877167,LLL,99,3-7_2-0_3-4_1-1
600,4,2_6_7_1,1_2_6_7,1,2012-10-19 12:00:47.375228,LLL,99,0-1_2-2_1-6_3-6
1000,3,1_5_6,1_5_6,1,2012-10-19 12:04:56.716672,YYY,22,4-2_0-3_1-6
1000,4,1_3_7_8,1_3_7_8,1,2012-10-19 12:05:03.666242,YYY,22,2-5_3-2_4-2_4-0
1000,5,1_3_6_7_9,1_3_6_7_9,1,2012-10-19 12:05:10.075581,YYY,22,4-1_2-6_4-6_2-3_4-0
1000,9,1_2_3_8_5_4_7_6_9,1_2_3_4_5_6_7_8_9,1,2012-10-19 12:05:20.226517,YYY,22,4-4_3-6_3-0_2-4_3-1_0-3_1-4_2-5_4-7
1000,4,2_7_8_9,2_7_8_9,1,2012-10-19 12:05:27.579487,YYY,22,3-5_1-5_3-4_3-3
600,4,1_3_7_8,1_3_7_8,1,2012-10-19 12:05:33.546921,YYY,22,1-3_3-6_1-4_3-2
400,4,2_9_6_8,2_6_8_9,1,2012-10-19 12:05:39.081203,YYY,22,3-0_2-0_3-4_1-6
400,4,1_2_7_9,1_2_7_9,1,2012-10-19 12:05:44.697071,YYY,22,0-2_1-4_0-4_2-4
300,4,1_5_4_8,1_4_5_8,1,2012-10-19 12:05:49.258133,YYY,22,0-4_1-6_2-5_0-2
300,4,1_3_7_8,1_3_7_8,1,2012-10-19 12:05:54.368149,YYY,22,0-7_2-5_1-1_3-7
210,4,1_3_4_6,1_3_4_6,1,2012-10-19 12:05:58.458795,YYY,22,2-3_3-4_2-4_1-7
1000,5,1_2_3_5_8,1_2_3_5_8,1,2012-10-19 12:06:03.560263,YYY,22,3-1_1-0_4-0_3-6_2-5
600,5,2_6_7_5_9,2_5_6_7_9,1,2012-10-19 12:06:10.046205,YYY,22,0-0_4-5_0-5_4-1_1-5
1000,3,2_4_9,2_4_9,1,2012-10-19 12:07:39.458745,SEA,33,2-7_2-5_1-2
1000,4,1_2_6_8,1_2_6_8,1,2012-10-19 12:07:43.320751,SEA,33,2-6_0-5_1-6_1-7
1000,5,2_4_5_8_7,2_4_5_7_8,1,2012-10-19 12:07:48.058835,SEA,33,2-4_4-1_0-5_3-0_1-3
1000,9,1_2_3_5_8_6_4_7_9,1_2_3_4_5_6_7_8_9,1,2012-10-19 12:07:53.324426,SEA,33,2-5_4-1_3-2_0-4_4-3_1-2_2-6_2-2_3-6
1000,4,2_3_5_9,2_3_5_9,1,2012-10-19 12:07:57.647378,SEA,33,2-3_3-7_3-0_2-5
600,4,4_8_6_5,4_5_6_8,1,2012-10-19 12:08:01.288613,SEA,33,2-2_3-7_3-1_1-3
600,4,9_8_2_3,2_3_8_9,1,2012-10-19 12:08:05.089207,SEA,33,4-4_1-2_2-4_1-6
600,4,6_7_3_2,2_3_6_7,1,2012-10-19 12:08:08.523898,SEA,33,4-4_2-2_2-3_0-5
1000,3,3_4_7,3_4_7,1,2012-10-19 12:13:19.499057,ABC,5,1-6_0-1_2-3
1000,4,1_2_6_9,1_2_6_9,1,2012-10-19 12:13:28.236509,ABC,5,0-6_1-6_1-0_2-1
1000,5,1_3_5_8_9,1_3_5_8_9,1,2012-10-19 12:13:33.599940,ABC,5,4-6_4-3_0-1_1-0_2-7
1000,9,1_2_3_4_5_6_8_9_7,1_2_3_4_5_6_7_8_9,1,2012-10-19 12:13:46.515531,ABC,5,0-1_2-4_0-4_3-7_0-5_0-6_4-6_1-6_3-4
1000,4,3_5_6_8,3_5_6_8,1,2012-10-19 12:13:54.349566,ABC,5,1-7_1-1_4-6_3-1
600,4,4_5_7_8,4_5_7_8,1,2012-10-19 12:13:59.994926,ABC,5,3-0_2-3_4-3_1-5
400,4,3_6_7_2,2_3_6_7,1,2012-10-19 12:14:04.918795,ABC,5,4-5_1-3_4-3_1-6
400,4,1_3_5_9,1_3_5_9,1,2012-10-19 12:14:09.378033,ABC,5,3-2_3-4_0-2_1-5
300,4,7_2_6_9,2_6_7_9,1,2012-10-19 12:14:13.689480,ABC,5,1-6_4-5_4-0_2-5
300,4,1_3_8_9,1_3_8_9,1,2012-10-19 12:14:21.358476,ABC,5,0-3_2-3_4-6_1-4
210,4,1_7_5_9,1_5_7_9,1,2012-10-19 12:14:26.716946,ABC,5,4-6_1-2_3-1_3-2
1000,3,3_5_8,3_5_8,1,2012-10-19 13:08:55.982380,JMN,33,4-4_4-0_3-2
1000,4,5_7_8_9,5_7_8_9,1,2012-10-19 13:09:05.960742,JMN,33,0-3_2-6_4-2_1-4
1000,5,4_5_7_6_9,4_5_6_7_9,1,2012-10-19 13:09:18.099210,JMN,33,0-7_3-7_1-1_2-0_0-6
1000,9,1_2_5_4_9_6_3_8_7,1_2_3_4_5_6_7_8_9,1,2012-10-19 13:09:27.585292,JMN,33,1-3_3-5_4-4_0-7_1-2_3-4_0-4_2-1_3-7
1000,4,1_7_8_9,1_7_8_9,1,2012-10-19 13:09:34.674622,JMN,33,1-7_3-6_1-3_1-6
