name,score
KAT,2720
HYM,1440
HYM,3600
RAB,1400
ROB,520
ELB,1400
CCC,1160
CCC,3750
ABC,440
ALE,1520
FLE,4230
CHL,360
ELL,1120
DES,80
DYL,840
DES,4150
MEL,4370
KAA,1480
XZZ,1360
JIE,560
COL,1840
ROB,120
AMY,1440
CRG,1760
CRG,800
LOL,800
.CA,760
DEY,840
CAD,480
TED,440
JAH,1440
DJH,1080
JJA,840
RUO,560
HJL,400
PE.,160
UUU,120
RTY,1120
YTU,840
III,880
V.V,800
QQQ,840
...,1760
IF.,1480
IAN,1360
WEE,1200
MMM,2550
TOM,480
VJB,720
KP.,120
BEL,520
HAN,1680
HAZ,840
CJM,2660
JOA,1840
BOB,1120
BAW,2730
BUM,880
GFF,120
GFF,120
YFF,160
GAS,1480
KIM,1480
MIA,40
CCC,1200
CCC,4650
CCC,2770
MEG,1160
ICU,2690
ICU,4250
RED,1200
YHU,1800
YHU,2180
CCC,1480
CCC,4250
AIM,800
FAN,1120
DEX,1120
ME.,1520
ALI,1760
REI,120
KJN,40
.KH,40
FEM,1400
VTJ,1440
.SU,1760
DRT,1440
HGK,1160
JAM,80
GDJ,200
CER,760
J..,2730
LUK,1760
FFF,1520
CET,3130
HEA,880
CET,1720
XBY,1760
LKW,880
NIN,200
RDW,1400
MER,2550
LCM,160
DOG,680
DYL,1800
UUU,2690
FMH,160
HMH,1360
FSS,2800
LUK,80
RUB,160
JAS,800
JCC,1520
ZOO,720
POO,800
ZOO,480
GEB,1840
GGG,560
DAD,1440
HAR,1520
FIO,4190
HAR,2680
ANN,1520
ANN,1320
CAR,1120
CAR,1200
ROA,880
TOM,2500
POO,560
FIN,1120
LLK,120
KIS,4320
PAS,160
MSL,880
JEN,3820
JAS,1040
HSO,1000
JAS,1040
ZOE,2190
BEE,480
STA,480
MJG,720
FAS,1120
GUN,1120
EUA,80
ELL,800
LEO,480
TIA,200
THI,80
THI,880
D.A,3150
ALD,4250
RET,840
EVE,440
PAT,440
RIC,3090
RAX,3060
HAZ,1760
HAZ,880
HAZ,1800
BOB,1200
FRE,1000
ALD,1800
ALD,1800
ALD,3650
KIR,1480
CTW,3220
JAB,800
KAT,120
HAZ,1120
SMS,160
SAN,2770
JAC,1760
LOP,3120
ROG,240
ROB,1720
CON,1120
SAM,80
BEN,1760
DAD,4170
SAM,840
CAL,1200
LJF,40
CAM,120
KRN,1840
FUN,200
RED,520
GUY,1160
ALB,1040
CON,440
RNY,80
JAK,80
APE,880
NAP,1120
DHY,1400
COO,80
LOL,800
DFB,200
ZXC,120
CAS,4020
ZEK,1840
EVA,800
DAN,2750
RYA,3650
ZOE,520
GJK,2210
GKK,1400
KOE,80
BEN,1080
ROX,1840
BOB,480
GTR,1320
GFR,2730
BOO,200
GOD,200
MAD,2090
MAX,480
BEN,40
FJJ,120
JAM,1440
RON,840
EGG,520
EGG,40
FQQ,80
SAN,800
ETH,1080
ERT,520
ERT,1480
CAO,80
EOI,2720
GED,2230
CAT,80
REE,1080
GAY,120
KAT,1520
KAT,160
LI.,80
WII,1160
RUB,800
BEC,1080
JEN,240
ELL,160
HYI,4250
FKJ,1720
CMD,1200
LAA,1160
BER,520
CDS,40
OIS,1440
JTF,160
KCA,400
VFH,840
POO,1800
AAA,1120
AMA,440
CCM,2510
MH.,3670
CHR,4210
MAE,1160
JES,1160
BRK,1400
NEL,400
GEL,120
TOM,160
BEN,160
JAL,760
MIA,160
GAZ,1680
ROS,3230
NBV,200
VVV,880
AMY,520
KKK,520
ASH,1800
DAN,4750
XHT,160
FRE,800
NXV,80
FIN,1360
ALD,1480
CAM,120
ZOE,1640
KJL,840
GGH,200
MAR,3320
GGG,4800
CAZ,4170
ANN,1480
CHA,4300
ANN,3300
CHA,4820
UTR,480
UTR,1760
RSV,1800
MEO,520
RYU,40
JEF,3150
LAC,1840
GRA,1400
LIL,4220
SAM,80
PSY,1320
ALI,400
LUI,2650
THE,1480
AJS,1400
AVI,520
SFF,40
CAT,120
VAN,200
SXS,200
YUG,200
THO,520
QTT,440
IZZ,1120
SCO,1520
IZZ,880
IZY,1480
MHH,2710
QWT,560
OKR,1800
FJR,1200
ZOE,1200
PJD,4270
PJD,4670
IAN,6080
JES,3080
VIC,2650
JAM,1440
HEZ,3150
ALD,4820
ALD,4370
AAA,6060
ED.,1120
QWE,520
AEN,1120
ZOE,520
FEV,2620
SAM,1080
PAC,1200
QWE,2700
SAM,80
QWE,1800
SAM,160
SAM,3210
QWE,3640
SAM,2770
SAD,480
UJI,1760
MIA,1120
MIA,1480
JAM,1440
EIL,1520
JAM,1680
ALI,1480
TPM,1800
BEA,1840
JAM,400
QAP,1440
JM.,1080
JES,1120
CAL,1440
...,120
PIN,160
ELA,3060
KAT,200
ASH,1200
MET,1480
TTT,840
APE,1480
QWE,3050
KAT,3300
KAT,3230
KAT,4660
MEG,1520
MEG,1760
C.G,3750
ALI,1760
MAR,1200
MAR,2720
B.E,1760
ALI,1760
MNB,1720
GDG,1160
ALR,800
RAC,1840
HM.,2040
BHH,160
ALX,1800
ALE,1480
FEE,2250
FEE,440
RFB,520
ALE,120
ALE,3190
XVX,320
LOL,440
KAT,840
KAT,4250
YYY,1160
POO,760
HOP,840
NPW,160
SAN,1440
HAR,160
LA.,560
JYT,80
UFO,360
ANT,2730
L..,1520
HFD,760
SAN,880
JON,1680
POD,1080
ROB,240
NHK,1120
DON,1800
AYO,120
JEN,1760
ASS,1160
SAC,560
SAC,480
YEH,560
POO,520
CAT,1160
BDF,1760
LCG,1480
HBA,440
HQB,440
HLB,1440
GLG,1720
HBL,1400
HBL,520
HBL,160
LAB,1400
CHI,1120
ELB,1760
HAN,1160
TRY,520
HAN,1520
LAU,1200
ME.,80
FFH,1360
DAR,120
DAR,480
RUO,120
DHT,480
FMR,800
JOS,1520
ALK,480
JIN,1160
CYF,2730
AAS,0
BOG,1080
MAM,2650
DAD,1840
TJM,1720
BOS,2820
DAD,520
DCC,1120
NEI,1400
STU,1800
EB.,160
CCC,400
RAY,200
ART,1840
BOB,1040
EMM,1400
ASS,1520
UKJ,40
UCY,1800
JOS,1200
PPP,2730
VJ.,1520
TPP,560
DAN,1080
MOT,2050
ANY,1040
OLI,400
WIL,400
JOA,1520
MIK,3270
EAM,200
EAM,760
EAM,160
EAM,520
LOL,2170
AMS,1400
KEE,1160
ORL,1760
IAN,4650
QMU,1160
TOM,160
RRP,480
CSS,1200
ALD,3820
EVE,520
FIO,1080
HOP,1440
AJS,1080
MUS,1200
DAD,1120
HC.,840
IAN,1840
LOO,2630
EUN,1760
EUN,520
RAT,1800
SUE,2050
JAM,4270
POU,480
DHS,1440
EMM,120
WWW,2600
SHE,2700
BOB,1120
DUR,1800
JT.,360
BFJ,120
BSD,160
YGH,40
A.L,1400
FRY,160
JOD,2150
NIK,360
ALE,160
ALE,560
ALE,1480
AMY,1200
ALE,1800
MER,2020
KEQ,2750
ARN,1400
KEA,3250
LEE,2300
LIB,1480
GHF,480
MIB,560
MIB,1200
EMI,1200
ECS,1200
KK.,840
GGG,1480
HJI,840
ALT,1120
MON,400
ALT,560
HVG,120
ISS,480
DAD,3720
ISS,160
ANP,1480
HGH,4300
KKK,1760
ODH,4000
AGW,560
ZOE,1480
KAT,2710
MAX,4150
MAT,1720
KLM,1480
GUY,4320
LOU,1200
KKK,2720
GUY,2230
DAV,2190
CAL,1480
LCM,1400
AMY,560
AMY,1120
A.M,120
HAM,80
EVE,1160
KAT,1440
DAD,3300
FEM,2230
SKB,1760
RAD,3720
ANA,80
HAN,880
HAN,80
HAN,1800
HAN,200
KJS,1520
HEY,0
HEY,1080
PDC,3680
CAZ,2590
CAL,1440
BEN,880
ME.,1760
OSC,400
