name,score
POO,800
KEL,1480
ALM,160
GAY,1160
CMB,1040
LIK,80
.LE,760
ARO,1760
TOG,1840
NYG,120
JES,2190
MAX,2690
SRS,240
DAN,3680
ALD,3750
JAM,7550
KYR,1440
SOP,720
A.O,120
GEM,1480
BOB,3370
HYU,1520
B.P,1760
GUM,1080
MUM,3620
MUM,1480
JOD,1520
LIV,480
NLL,680
MCG,880
BET,160
BET,560
HAN,1480
FIO,1440
ME.,1160
ASH,1520
STU,3690
HGC,1520
WOO,40
SAM,4230
HFA,1480
CAS,2230
KAT,1120
ZOE,800
EMZ,1000
MAT,520
MAT,1800
EMY,240
NRP,1760
SAR,0
JAY,480
OJD,480
MMM,40
JAY,840
AMY,1840
AMT,1040
AMY,1200
JAY,1080
JAY,120
IPL,160
SAM,880
JAM,80
RAC,880
JAY,120
AZM,80
JBB,2650
JBB,1800
JAX,160
KAT,160
QUD,120
SCO,4220
BEE,120
EVR,1080
TDR,3670
JUL,840
IZZ,720
GDK,760
P.O,80
REC,1440
ANG,4820
BPB,440
GIO,120
XYZ,40
JVH,840
OYT,1120
ATQ,800
SUM,200
MMH,440
KKI,1480
SJK,2180
JGB,1720
HHH,520
GJJ,3630
POO,1520
NSB,1120
MJK,1120
JIM,1080
DEB,1080
JIM,1520
ANA,1480
WEE,80
LAN,3160
GGG,2250
GAR,2590
TUK,160
DRM,3300
TBN,40
ROS,120
SUE,480
SAM,120
SAM,1480
GUA,440
ALX,800
TUH,3160
JAM,1760
ALE,1120
ZXC,1760
VIK,3230
JAM,800
ATR,2060
YAH,80
YAH,240
ZOH,80
GEM,3230
DWA,1480
ANN,1840
FLA,3190
OVB,1520
GUO,800
JAC,480
BEE,40
ELP,1120
NIM,1120
EOI,80
GQA,40
MTR,1040
EMI,400
BOB,1760
DSF,1320
CBX,1480
FTE,1320
JIM,1840
JIM,1520
QWE,760
VJH,3300
VCJ,1480
FDH,1120
COZ,1200
CLZ,3250
OGG,1720
EVH,80
QTY,160
BAZ,1520
PRW,1720
AMM,2250
CON,1080
ORB,1120
E..,1200
ELL,560
CET,1440
NNJ,720
HAM,840
AMY,1480
ROB,40
SAB,120
ABS,240
JES,1200
QTN,760
RAE,80
TUH,1000
RUA,1760
RUA,1160
HOL,720
BJA,880
RAB,2750
LIS,120
JOJ,1200
CHY,760
CHY,400
CHY,480
CHY,520
CHY,520
CHY,840
CHY,1160
JOP,1120
BEN,840
MAY,1160
IYU,760
BRC,160
BRC,80
MAY,160
BRO,0
BOB,3750
LSW,1400
ARA,80
DUF,1480
COL,400
MIA,840
RUT,1520
JON,1800
SAM,480
SAM,520
SAM,440
BWB,2180
ROS,480
ISA,2690
E.L,1760
LOR,3070
MCG,3670
IMO,200
IMY,3560
NIA,1080
COR,1440
JOR,800
CAL,800
XZZ,1440
YYU,720
MAD,1440
ASS,440
PSY,240
GRI,240
FNG,120
GGT,800
SIM,40
SAM,480
JAC,0
CHA,200
LOU,560
CDS,1120
MAT,480
REB,80
NBJ,1680
BEN,1520
FKG,80
...,40
BXP,80
ABB,1440
CAT,1160
CIA,1160
KSA,200
ESA,1120
ESA,800
EMI,1760
AND,440
EVE,200
SAZ,40
GGH,1200
ZAW,1720
RSP,840
GGH,840
ELL,160
ALI,880
ALI,3220
CWL,120
COC,1720
WEB,1080
MON,1080
AMY,40
TJZ,80
CAL,800
DAN,160
MAC,1160
UYH,1160
AJJ,3230
STM,760
LUM,3090
JHA,4770
LHZ,1840
DRE,560
UJO,840
TYU,800
.OL,800
LIL,840
JOE,760
IMD,1200
YUJ,1120
TYU,1160
.II,480
XDT,520
YUI,400
YUK,160
LHC,840
MLT,1440
ELV,1840
ELV,760
EDI,3560
EDI,1520
EDI,1120
EDI,1160
EDI,1760
MKR,2650
EJF,1720
EDI,3300
MKR,4650
GDJ,720
MMM,1760
ALE,1200
DEB,2230
HYU,2230
SEP,2670
SEP,4750
.AL,560
RHU,1440
MAT,2560
EVA,760
ZEN,1160
AMY,1680
AMY,4100
FIN,560
FIN,880
JIL,4770
LOU,1840
PAN,520
KEN,3820
JAN,4170
DKY,40
CAL,200
CAM,880
CAL,1160
CAL,1120
CAL,1160
BOO,240
TOM,1200
CJ.,4800
ASD,4230
DEB,1480
COL,1800
AMY,1480
POI,840
SIR,1800
ANI,240
ALM,1760
BEC,1800
KAT,1200
JOR,2170
DBB,1200
TTT,880
REB,4100
MAC,440
ROB,120
ALI,3190
IAI,120
DEM,3690
ROO,1440
JOS,480
DIS,1400
FED,120
RSD,1760
NJP,4170
AMY,520
AMY,3620
GYR,840
.LL,3130
LOH,1760
SAM,1800
EMS,80
RON,1480
EDD,1200
ALE,1760
NCT,1720
DHX,160
JAN,1120
HGT,160
LAU,560
KAR,1160
LOU,480
MFD,1800
JKL,1840
LIN,1440
HAN,720
NAY,1200
TOM,200
HEL,1480
SHH,1440
ASS,1080
JHP,1120
JHH,1360
MIC,480
YOU,1160
DAZ,1720
JOJ,840
JOE,240
CON,1840
KIA,1080
JAH,480
DAN,840
MAG,1120
CAT,2800
JAM,1160
ELM,720
JAM,1200
SAM,120
SAM,480
AED,1440
JES,1480
JHN,1440
TIT,1120
FAG,1800
SAM,1120
JAC,2690
JMC,2680
DOT,3300
MCC,3180
JAY,1520
CRA,800
KEZ,1520
FEL,1840
SKY,3190
ADA,480
JAM,1160
JAM,1520
KYO,760
ADA,1800
MMM,1760
YVB,1760
DJB,3120
BOB,520
WEE,400
JAM,1720
LOL,1480
SAL,1840
VBN,120
GER,760
CAM,1480
BHK,440
FRQ,3180
RRE,480
ITY,800
RHU,1360
AMY,1400
REN,1480
ALD,1120
LEM,3700
CAT,1320
CHA,3110
COW,640
YOP,440
CJB,800
DOD,1840
HJM,2200
AJM,2050
KIT,1080
KIT,1480
PPP,3630
MVU,720
RHI,1040
FRE,1160
MUM,1160
COP,2800
PPO,3220
RRN,3770
LEM,1800
ROB,800
ROB,1480
LIV,840
DJM,1200
YOP,520
PIP,160
JSC,2640
LOT,1680
LGH,1200
JVF,80
FRR,1760
ROO,880
ALY,1120
BOB,1720
GYF,3320
CHI,4200
DRB,3770
JEM,2100
MFR,520
WET,200
HGH,520
HRK,400
JSW,160
YOK,1480
KWA,520
POP,1400
HIT,1440
THE,880
AAA,1080
MLA,840
MUM,2230
MOL,1080
DAD,1080
SRY,760
JGG,1680
TOM,1200
ROM,1160
SIM,5320
QQQ,3620
MYS,800
JCB,1800
JED,840
LOU,1120
IC.,1080
NIG,880
MAN,1160
SJS,1480
SJS,2140
COO,4560
FRA,1160
SEX,3720
QQQ,1480
SEX,1200
SEX,3190
DWS,1480
FAA,1840
JOS,1840
JCB,520
KER,1160
JCB,1840
CCC,3870
TOD,40
YFY,2070
ACE,4730
DEE,4800
MEE,1840
OOO,160
HOL,1160
BVN,2140
CHA,800
NHF,120
RLM,1440
HAT,1480
FER,1840
IRV,1120
OLI,160
RIO,1080
LRG,440
RON,400
LOU,80
JAY,40
AMY,480
LAU,200
VMM,2720
QWW,2050
OOO,2650
NGF,2230
NLC,1160
MEE,520
MEE,1720
ANZ,2300
DAN,480
WO.,2320
ELL,1120
EL.,160
ROM,440
ROB,120
CAR,1400
CAR,760
LIL,1480
PUU,880
ZLM,1840
ZLM,2690
AMY,80
KAT,800
REE,680
T.L,800
TYS,1840
TUS,1320
TL.,120
LIS,2170
BCP,200
LIA,760
ZIG,2070
CAT,200
FUN,120
KIL,400
CHA,760
JPU,160
ALE,40
NJJ,1480
E.L,760
LRU,4180
UDL,480
PLT,1440
HIY,1200
BOD,120
KAR,880
JAB,1120
JTO,440
LOL,1120
POO,80
ANN,360
PAT,400
MAX,240
MAX,200
ETH,800
RUA,3140
JEN,1160
DYL,1520
SKJ,200
PCR,80
SKB,0
FNF,1760
LOR,1360
LOR,1840
COP,840
ANI,1520
LAC,1760
FIN,80
REC,480
REC,1800
NMC,1160
JPC,160
HJK,1400
UMG,320
HAJ,40
KEL,1520
EMM,1840
FIL,1520
TWO,880
CAR,1520
TJI,3620
JES,1120
PET,1120
BOB,160
GRP,3750
HIK,1520
ROB,1160
AMY,40
DAN,1760
ABD,4750
EMZ,1760
PIS,360
MAG,800
SAM,800
EBK,200
ROR,1760
WAB,1040
WAB,1040
WAB,720
NMN,40
OWE,0
DAD,40
GAF,1200
DUM,400
KAR,1800
GAY,1160
GAY,840
GAY,1480
JAM,520
AMR,1680
IAN,1440
TOM,1440
MOO,1600
ZAC,2230
WSD,160
DAN,2620
EYT,440
STE,160
POO,200
YHF,1800
GAY,3700
IZZ,2090
IMY,1400
POO,880
MAX,1120
DAV,1120
MAX,160
YEF,400
VIC,1800
LES,120
ABC,1160
BET,80
BET,1200
LOS,1440
ASR,1480
TIN,1120
RGF,2190
ARR,1840
SIM,1440
YGG,480
JEN,1400
PAT,1040
HOL,2510
BLY,1120
POG,880
SAM,520
GGH,40
JAC,200
BEN,400
RYO,1200
RYO,560
BEN,160
TYP,840
TRH,440
UIO,200
IPY,480
MUM,1760
IAK,440
BEN,400
LJB,1720
JAS,480
JAS,880
ASS,1800
CAT,1440
HJM,560
HAG,200
LOU,1400
ROB,1520
JOX,1520
IAN,2710
JSH,1200
JSH,1080
RJH,1480
FDA,1160
YHG,3090
ABI,1160
PIG,1640
TRD,800
FIN,2250
RAB,3050
IMY,3270
AID,240
AID,1760
EHG,160
BOZ,120
TUG,160
MUM,400
MUM,1480
NAP,160
BOO,360
HFH,1800
ZXD,40
CQA,40
DAN,120
MIC,1120
.LA,1400
VER,1800
ABP,840
BPA,1080
MKA,1840
LOL,1200
LOL,1480
JES,1200
NIC,1800
LOL,840
LO.,3250
LOL,3320
VIC,1160
GRE,2260
ELY,3610
FIL,6220
DAN,520
FRT,760
JCB,3640
BAZ,1120
BAZ,880
MEE,2560
JON,1760
MEE,4160
KAT,1400
CAT,1760
IHC,1120
HRC,1520
KLO,1720
SJJ,2730
DAR,4130
LII,120
BZO,400
YYU,720
YUU,40
LOL,800
BOB,2600
GUT,2180
BE.,1440
RTT,880
EMI,200
BEX,120
RHY,1360
NAS,4120
OL.,120
OLI,120
VBB,160
DGD,120
YHJ,1800
DEB,1800
KRW,3750
DEB,1200
JAG,2640
STE,5390
DAR,0
FAZ,2590
ROS,160
RPP,1520
CHL,400
CCH,440
MAA,480
TAN,1800
IIT,560
DEN,760
TEN,4200
JAK,120
JAC,200
JAC,1800
EIL,1720
ROW,1440
ROC,2180
ELF,800
KAT,3230
POO,1840
GHI,120
BOB,1400
GOH,3190
CCC,1080
FVK,1440
ZAC,320
ZAC,120
QKJ,2750
TTT,2220
EMM,1440
ALL,1800
ALL,3250
CAL,4820
ATO,1440
CAL,2800
NOM,1440
TOR,1480
REE,160
CAM,200
MAR,3660
KAT,1120
LAY,2270
NUT,200
MJB,840
DAD,880
MJB,840
AJB,4870
MJB,520
UDH,1400
MEE,1120
SGM,3660
JOM,1760
ROS,2100
DJH,2190
SPM,1360
NEL,1120
AMY,840
YAY,760
RUB,1720
STU,2730
Z.C,80
NIG,1800
HOL,1480
DAZ,520
VVV,440
KIR,1480
CCA,1160
BET,1160
RUJ,1480
MEP,1520
ALO,1160
HRB,1160
ABC,840
NYK,160
MRJ,1760
SDV,200
GKT,480
NHH,440
TTY,400
GKV,1480
PPO,1040
ABC,1760
QWE,2730
MAX,1760
BNN,880
NNV,120
JOE,3230
BOB,240
JAY,1800
MET,7580
QQQ,1520
HII,1680
POO,840
HER,1800
STE,3660
STE,2800
ROS,1400
LRB,160
JOD,520
JAK,800
FTR,440
SID,760
VVT,1080
GYY,120
JAC,120
BES,1400
BJH,1480
POP,40
POP,1160
POO,560
SAM,400
CJB,40
MEG,120
MEG,200
RMB,3050
TAM,3800
SJB,1640
RMB,1720
JTR,1120
MRK,1520
UWE,80
III,1200
TOB,120
OLI,800
SOP,560
TOY,520
AKH,1160
OLI,800
A..,1200
OLI,720
AAK,560
ALI,1440
AA.,1120
ESR,1080
ESR,80
LIA,760
DTG,160
SAR,1200
CAR,1840
LEE,3230
PAU,5480
IMN,760
JMW,3600
JAY,3800
VA.,1440
AAA,3320
BAW,1840
POO,200
POP,440
LUK,2600
JUD,2260
CAT,880
LUK,1520
JUD,1760
JUD,840
CAT,240
CAT,520
JUD,2730
EMC,3370
MOL,1200
MOL,480
QGJ,40
LMJ,120
TUT,160
MHK,1800
HIG,840
ROK,1440
MAY,1760
MIA,1760
MIA,1840
MIA,1480
RAC,1720
MJC,2230
JRN,8210
GEZ,1760
RHO,2680
FYN,1840
CRA,1800
AMY,1760
STU,2760
JMY,1160
HAN,800
JMY,2630
LNL,2230
BEX,3230
CD.,4220
BIR,4670
MIK,1520
MIK,2190
ALE,520
MAL,3640
MA.,3630
KAL,1760
ALD,6990
ADS,3230
BMC,760
BMC,560
IMP,1360
SAM,4870
JT.,720
JT.,2300
MGT,3770
FIN,1800
MOL,1440
JRN,6740
ALD,4370
AIL,760
LAW,2680
LIL,1200
JAM,4270
SON,1200
TOM,200
MOI,4230
MIT,3130
CBS,1720
LOZ,1840
LOR,1520
LOR,3270
AZZ,1440
BOB,1160
AJH,1440
DAV,760
AJH,2730
HEL,3620
IAN,3610
IAN,4210
CCC,2150
SAM,80
RIK,1800
JIM,1520
MCB,560
AEB,1160
AEB,1360
AEB,1120
NBB,1440
ALD,6180
ALD,3250
OLL,1440
LEO,3210
LEE,3700
SEL,1440
FIO,1400
IZZ,1040
CAT,2610
EMM,480
ILH,1200
HIP,160
ILH,480
BNB,80
QUH,720
THE,120
MS.,1800
LIE,1720
L..,3650
IAG,3140
LMG,1200
CHR,1120
CHR,1160
CHR,1120
HHH,1040
RRR,200
XDR,1160
TIT,2090
GOR,760
GEO,1520
HFG,1200
HGH,1840
YTU,1800
DTF,4170
CAL,3560
ANA,3300
UOL,760
JRN,4670
JRN,4720
FEL,1440
AMY,1160
ROR,80
ROR,160
CRA,1160
SUZ,1200
AME,2630
HBO,1000
JHS,1400
JHS,1760
JJJ,1720
KKK,2700
YGG,120
CHA,800
VIX,1720
MEG,680
MEG,1480
JLH,4250
LUC,1440
IXI,840
ERK,1480
FRA,2180
RJW,1200
HEY,3150
HEY,1840
QWE,1200
ASD,1800
SOP,360
DIK,3800
JTL,1120
DS.,1440
DSL,2230
ACE,3610
FTY,440
TAS,840
YHH,1720
HHR,2190
GHJ,1840
GEY,3770
TWR,120
MEF,440
OSC,160
WWY,840
THV,1120
TIL,1200
Y.U,3640
MAR,1360
GGG,1120
BGG,520
MMM,840
DAN,3300
NAT,1200
OOO,3670
JUY,4620
ANN,1760
LQQ,1480
BOG,1440
BOG,1840
BOG,1840
ANN,160
ANB,80
MIU,160
JOE,80
HUG,480
MJA,1840
RUH,480
NIA,1440
MJA,400
LKK,4300
IMA,4170
POO,1800
CEL,1480
PEE,1440
GHG,880
BUM,880
QDS,240
STG,1840
ISI,1040
ALE,1200
ULA,440
ISO,520
AAA,760
EEE,840
CCC,1160
ASS,3580
AAF,3120
JOS,3200
MNV,120
NAT,1000
NWG,240
SAM,1360
LEW,2040
ROB,3750
CDC,1800
MYK,3800
CHM,6960
ARD,1120
CLO,840
CLO,1760
IMS,2230
CHM,3260
AAQ,200
IMP,160
JCA,1200
LEA,1760
INI,3200
PHI,800
PWE,1120
UUU,1200
PPP,2730
JDH,1080
NOI,880
SAM,1440
JON,4660
ELL,1760
JAN,1480
PIP,1800
ROB,1160
RPP,3200
CLM,1800
CLM,3300
POO,3630
ALI,1160
MAX,1760
DAN,1200
PCH,4550
VAG,1480
VLM,3190
DAZ,3640
JOO,160
UYI,40
GAZ,1480
SCC,1120
CSC,1160
MEL,1720
MEL,2630
LOL,1120
HHH,840
TOS,1160
TPS,120
NES,3190
LEA,2730
LOL,3710
RLJ,1800
SJH,2220
RLJ,4680
HAG,1520
REE,1480
HSU,1720
MIC,1800
ASU,3520
AIM,3230
SIM,4170
HUJ,2710
GOG,2700
LEE,1480
MLK,2180
BUZ,760
CAR,320
CQL,1440
LUC,400
ALI,1480
SIN,1440
MAR,1760
MAZ,1760
COP,3160
KMO,5270
TWR,1120
MSO,1760
SDA,3190
MAG,3750
KAT,840
RES,1200
BTZ,1440
CAL,4370
BEA,2760
HAN,1480
ROR,1440
GIL,800
AND,560
ALD,5230
DAN,1440
UAQ,1440
JEN,3270
PAT,880
DAN,560
OLI,200
.OJ,2040
SAM,5240
IMP,1480
IMP,1480
LEM,3370
PEN,1520
KEV,2100
SEC,4220
CAS,2100
DAN,2760
CVB,3270
SDW,800
FUD,1520
GLA,840
BNP,480
GGI,1800
HEW,1520
HUO,120
DDD,760
BEN,400
YOU,1200
ALA,4090
YOU,1440
SBR,1160
SAR,40
AAD,6140
FKU,2760
RAR,3300
RRR,4770
KEO,1080
TTT,1520
GGG,1200
YYY,3150
GAR,1120
JEM,1760
ADJ,1800
KLW,1760
JAK,1080
DAD,4200
ALI,2190
ALI,4760
SCC,1440
SAR,2230
CLD,1720
TIA,3180
TIA,3720
JRN,8090
UBG,2190
CZH,40
ABM,1720
EHT,2140
TIA,2250
MAR,400
MJ.,1080
LUM,720
JEN,1120
MEJ,4320
CJF,2230
RAF,520
KAS,480
EMI,560
NGG,3720
ZAC,2690
MIA,1520
MIA,3610
MIW,160
MUR,4800
LEA,2630
LEW,3150
KOR,1480
FCM,1440
COL,1480
VMP,1440
VMP,1120
AMY,3750
LUC,560
LUC,1160
AMW,1680
ZOE,480
EVW,1080
AMG,1480
AMG,2730
GSG,1400
BET,1440
ABU,760
ABU,1480
JAK,880
LYN,2070
WIL,160
STE,40
GLO,720
STE,1360
TUB,1160
TUB,1800
DAN,1160
AND,2680
SEA,840
SAM,1800
MOL,520
CAM,400
DMM,440
GGG,3250
LJM,1000
TTF,200
TON,120
HAR,1200
CJD,800
BET,800
TON,80
MAT,3720
NAT,480
BAR,1480
TRY,400
CHE,1440
CWL,1160
CAY,2010
LOL,3800
BJK,1720
AAR,160
DON,80
YTD,480
MIC,1800
CAZ,1200
LEW,720
GAV,520
KIE,240
KJG,1040
HSJ,1200
ALI,1760
JWR,120
IED,400
MMC,1720
STE,4250
ALI,4120
AMY,1520
EWU,1080
BEN,1200
O..,4220
ELS,1480
KE.,440
ELS,1120
ELS,1800
ELS,1160
WW.,880
QWB,80
JES,400
LOL,1080
YOU,1520
MEG,4210
SLB,1720
EMI,160
LJP,2230
LUC,3100
RUL,1760
RFK,40
POO,1800
LOR,3570
JEN,1720
JEN,1440
HOL,680
HRJ,800
RSC,1400
RSC,2150
KAT,1760
CAM,1480
DJW,1480
PHF,1480
MUM,1400
TAS,1760
BUM,120
DAD,2760
KAT,3220
LBM,520
TKH,1120
KEN,800
HGH,160
ADA,720
KTT,80
HGG,80
ANI,240
GRA,2760
LUK,1760
RYA,800
JHY,2690
JOR,2300
JFK,3320
MAX,200
MAX,800
TEE,1040
JOE,160
BEX,1480
GER,880
CJA,6040
DFF,80
BAR,4250
AJL,1800
GVJ,1480
POO,640
KTY,2750
CDA,2050
UNA,520
HMT,2690
CMP,1400
NNN,1800
NJL,1800
DNL,8290
AML,40
GRD,4170
NJL,1120
ALI,2140
ETH,800
IAN,4720
BEV,2190
ABB,1520
DAN,1400
KAT,1800
RYN,1160
ROS,2640
PET,760
PIR,2650
EGJ,80
E.I,1440
E.L,800
HHA,1400
HHH,1200
YYY,1800
HHH,1120
MDE,1120
STE,1080
LYN,2650
ALD,3820
ALD,6900
HAN,440
KMC,4370
JON,3130
MOO,1480
MOO,1760
WEE,1640
IME,1400
LOV,1520
AFF,880
GTU,240
ABB,560
WLS,2150
LBJ,1160
DAN,1080
DAN,2750
ROS,840
PAP,3250
ELL,1840
DEG,1520
ASS,1840
MKO,4370
SAZ,880
SCO,3320
IHH,760
MVC,1080
SML,1440
ELL,80
ELL,1840
PAL,1720
ERN,160
SBG,4170
JRN,3820
JAM,5430
MMC,1000
LCB,1520
MAC,3270
LIS,3220
LIS,3140
LOZ,3650
MAR,4660
MAT,3620
LAE,760
ROB,2800
AIJ,2180
PIO,1400
GOS,1760
OLA,4110
JAN,1200
FEN,1440
CUN,1760
ICH,3300
ICH,3230
AND,1400
AND,1520
LAS,1160
IRI,1040
PAP,3140
DOL,1760
SOR,1160
AAA,3220
HYI,1080
GAY,1760
HSH,480
YHU,360
ILI,4260
YFU,1440
TTT,3600
DSG,800
EH.,7410
SAZ,1760
HHG,4150
MJV,120
MEG,160
DGJ,1800
RIC,2730
LEA,2190
JAM,480
LEE,880
GAB,3320
GRL,1760
GOD,2760
B.L,1160
JAM,1520
DAW,1120
DEL,520
QQQ,1400
KRI,880
BUM,4190
SHY,1160
BEX,1520
SHY,840
BEN,4200
ABI,2230
STE,3500
MEL,720
FUN,2230
RSZ,1160
S.C,1800
ADA,160
LEE,4770
JEN,3150
JEN,4370
RSJ,4050
