latency,numerals,correct
1000,5,0
1000,5,0
1000,5,1
1000,5,1
1000,5,1
1000,5,1
1000,5,0
1000,5,0
1000,5,0
1000,5,1
1000,5,1
1000,5,0
1000,5,1
1000,5,0
1000,5,1
1000,5,0
1000,5,1
1000,5,1
1000,5,0
1000,5,1
1000,5,0
1000,5,0
1000,5,0
1000,5,1
1000,5,0
1000,5,0
1000,5,0
1000,5,0
1000,5,1
1000,5,0
1000,5,0
1000,5,0
1000,5,0
1000,5,1
1000,5,0
1000,5,1
1000,5,0
1000,5,0
1000,5,1
1000,5,0
1000,5,1
1000,5,0
1000,5,1
1000,5,0
1000,5,1
1000,5,0
1000,5,1
1000,5,1
1000,5,1
1000,5,0
1000,5,1
1000,5,0
1000,5,0
1000,5,0
1000,5,1
1000,5,0
1000,5,1
1000,5,0
1000,5,0
1000,5,0
1000,5,1
1000,5,0
1000,5,1
1000,5,1
1000,5,1
1000,5,0
1000,5,1
1000,5,1
1000,5,0
1000,5,0
1000,5,0
1000,5,1
210,5,0
1000,5,1
1000,5,0
1000,5,1
1000,5,0
1000,5,1
1000,5,1
1000,5,1
1000,5,1
1000,5,1
1000,5,1
1000,5,1
1000,5,0
1000,5,1
1000,5,1
1000,5,0
1000,5,0
1000,5,0
1000,5,1
1000,5,0
1000,5,1
1000,5,1
1000,5,1
1000,5,1
1000,5,1
1000,5,1
1000,5,1
1000,5,0
1000,5,0
1000,5,1
1000,5,1
1000,5,1
1000,5,1
1000,5,1
1000,5,0
1000,5,1
1000,5,1
1000,5,1
210,5,0
210,5,0
210,5,0
1000,5,1
1000,5,0
1000,5,0
1000,5,1
1000,5,1
210,5,1
1000,5,0
1000,5,1
1000,5,0
1000,5,0
1000,5,1
1000,5,1
1000,5,1
1000,5,0
1000,5,1
1000,5,1
1000,5,1
1000,5,0
1000,5,1
1000,5,0
1000,5,1
1000,5,1
1000,5,1
1000,5,0
1000,5,1
210,5,0
210,5,0
1000,5,0
1000,5,0
1000,5,1
1000,5,0
1000,5,1
1000,5,1
210,5,0
1000,5,0
1000,5,1
1000,5,0
1000,5,0
1000,5,1
1000,5,0
1000,5,1
1000,5,0
1000,5,1
1000,5,1
1000,5,1
1000,5,0
1000,5,1
1000,5,1
1000,5,1
1000,5,1
1000,5,1
210,5,1
1000,5,1
1000,5,1
1000,5,1
1000,5,0
1000,5,0
1000,5,0
1000,5,0
1000,5,0
1000,5,1
1000,5,0
1000,5,1
1000,5,1
1000,5,1
1000,5,0
1000,5,0
1000,5,0
1000,5,1
1000,5,1
1000,5,0
1000,5,1
1000,5,0
1000,5,1
1000,5,1
1000,5,0
1000,5,1
1000,5,1
1000,5,1
1000,5,0
1000,5,0
1000,5,0
1000,5,1
1000,5,0
1000,5,0
1000,5,0
1000,5,0
1000,5,1
1000,5,1
1000,5,1
1000,5,1
1000,5,0
1000,5,0
1000,5,0
1000,5,1
1000,5,0
1000,5,1
1000,5,0
1000,5,1
1000,5,1
1000,5,1
1000,5,1
1000,5,0
1000,5,0
1000,5,1
1000,5,1
1000,5,1
1000,5,1
1000,5,0
1000,5,1
1000,5,0
1000,5,1
1000,5,1
210,5,0
1000,5,0
1000,5,1
1000,5,1
1000,5,1
210,5,1
1000,5,1
1000,5,0
1000,5,0
1000,5,0
1000,5,0
1000,5,0
1000,5,0
1000,5,0
1000,5,0
1000,5,0
1000,5,0
1000,5,0
1000,5,0
1000,5,0
1000,5,1
1000,5,0
1000,5,0
1000,5,1
1000,5,1
210,5,0
210,5,0
210,5,1
1000,5,0
1000,5,1
1000,5,1
1000,5,1
1000,5,0
1000,5,1
1000,5,1
1000,5,0
1000,5,0
1000,5,1
1000,5,0
1000,5,0
1000,5,0
1000,5,1
1000,5,0
1000,5,0
1000,5,1
1000,5,1
1000,5,1
1000,5,0
1000,5,0
1000,5,0
1000,5,0
1000,5,0
1000,5,0
1000,5,1
1000,5,0
1000,5,1
1000,5,1
1000,5,1
1000,5,1
1000,5,1
1000,5,0
1000,5,0
1000,5,0
1000,5,1
1000,5,0
1000,5,1
1000,5,0
1000,5,1
1000,5,0
1000,5,1
1000,5,1
1000,5,1
1000,5,1
1000,5,0
1000,5,0
1000,5,1
1000,5,0
1000,5,1
1000,5,0
1000,5,1
1000,5,0
1000,5,0
1000,5,0
1000,5,1
1000,5,0
1000,5,0
1000,5,0
1000,5,0
1000,5,0
1000,5,0
1000,5,1
1000,5,0
1000,5,1
1000,5,1
1000,5,0
1000,5,1
1000,5,0
1000,5,1
1000,5,0
1000,5,0
1000,5,0
1000,5,0
1000,5,0
1000,5,0
1000,5,1
1000,5,1
1000,5,1
1000,5,0
1000,5,0
1000,5,0
1000,5,0
1000,5,1
1000,5,1
1000,5,1
1000,5,0
1000,5,0
1000,5,0
1000,5,0
1000,5,0
1000,5,1
1000,5,0
1000,5,1
1000,5,0
1000,5,1
1000,5,1
1000,5,1
210,5,0
210,5,0
1000,5,0
1000,5,0
1000,5,0
1000,5,1
1000,5,0
1000,5,1
1000,5,1
1000,5,1
1000,5,1
1000,5,1
1000,5,1
1000,5,1
1000,5,0
1000,5,1
1000,5,1
1000,5,1
1000,5,0
1000,5,0
1000,5,0
1000,5,1
1000,5,0
1000,5,0
1000,5,0
1000,5,0
1000,5,0
1000,5,1
1000,5,0
1000,5,0
1000,5,1
1000,5,1
1000,5,0
1000,5,0
1000,5,0
1000,5,0
1000,5,0
1000,5,1
1000,5,0
1000,5,0
1000,5,0
1000,5,1
1000,5,0
1000,5,0
1000,5,1
1000,5,1
1000,5,1
1000,5,1
1000,5,0
1000,5,0
1000,5,0
1000,5,1
1000,5,0
1000,5,0
1000,5,0
1000,5,0
1000,5,0
1000,5,1
1000,5,1
1000,5,0
1000,5,1
1000,5,0
1000,5,0
1000,5,1
1000,5,0
1000,5,0
1000,5,1
1000,5,0
1000,5,0
1000,5,0
1000,5,1
1000,5,0
1000,5,0
1000,5,0
1000,5,0
1000,5,0
1000,5,1
1000,5,1
1000,5,1
1000,5,1
1000,5,0
1000,5,1
1000,5,1
1000,5,0
1000,5,0
1000,5,1
1000,5,1
1000,5,0
1000,5,0
1000,5,0
1000,5,0
1000,5,1
1000,5,0
1000,5,0
1000,5,1
1000,5,0
1000,5,0
1000,5,0
1000,5,0
1000,5,1
1000,5,1
1000,5,1
1000,5,0
1000,5,0
1000,5,0
1000,5,1
1000,5,0
1000,5,0
1000,5,0
1000,5,0
1000,5,0
1000,5,0
1000,5,0
1000,5,0
1000,5,0
1000,5,0
1000,5,0
1000,5,0
1000,5,0
1000,5,0
1000,5,0
1000,5,0
1000,5,0
1000,5,1
1000,5,1
1000,5,1
1000,5,0
1000,5,1
1000,5,0
1000,5,0
1000,5,1
1000,5,0
1000,5,0
1000,5,1
1000,5,0
1000,5,1
1000,5,0
1000,5,0
1000,5,0
1000,5,0
1000,5,0
1000,5,1
1000,5,1
1000,5,1
1000,5,0
1000,5,0
1000,5,1
1000,5,0
1000,5,1
1000,5,1
1000,5,0
1000,5,0
1000,5,0
1000,5,0
1000,5,1
1000,5,1
1000,5,0
1000,5,1
1000,5,0
1000,5,1
1000,5,0
1000,5,1
1000,5,0
1000,5,0
1000,5,0
1000,5,1
1000,5,0
1000,5,1
1000,5,0
1000,5,1
1000,5,1
1000,5,1
1000,5,1
1000,5,0
1000,5,0
1000,5,0
1000,5,1
1000,5,1
1000,5,0
1000,5,1
1000,5,0
1000,5,0
1000,5,0
1000,5,0
1000,5,0
1000,5,0
1000,5,0
1000,5,0
1000,5,0
1000,5,0
1000,5,1
1000,5,1
1000,5,0
1000,5,0
1000,5,0
1000,5,1
1000,5,1
1000,5,1
1000,5,1
1000,5,0
1000,5,1
1000,5,0
1000,5,0
1000,5,0
1000,5,0
1000,5,0
1000,5,1
1000,5,0
1000,5,1
1000,5,1
1000,5,1
1000,5,1
1000,5,0
1000,5,0
1000,5,0
1000,5,0
1000,5,0
1000,5,0
1000,5,0
1000,5,0
1000,5,0
1000,5,0
1000,5,0
1000,5,0
1000,5,0
1000,5,0
1000,5,1
1000,5,1
1000,5,1
1000,5,1
1000,5,0
1000,5,0
1000,5,1
1000,5,1
1000,5,0
1000,5,0
1000,5,0
1000,5,1
1000,5,0
1000,5,0
1000,5,0
1000,5,0
1000,5,0
1000,5,0
1000,5,0
1000,5,0
1000,5,0
1000,5,0
1000,5,0
1000,5,0
1000,5,0
1000,5,1
1000,5,1
1000,5,0
1000,5,0
1000,5,0
1000,5,0
1000,5,0
1000,5,0
1000,5,0
1000,5,0
1000,5,0
1000,5,0
1000,5,0
1000,5,0
1000,5,0
1000,5,0
1000,5,1
1000,5,1
1000,5,1
1000,5,1
1000,5,1
1000,5,1
1000,5,0
1000,5,0
1000,5,0
1000,5,0
1000,5,0
1000,5,0
1000,5,0
1000,5,0
1000,5,1
1000,5,0
1000,5,0
1000,5,1
1000,5,0
1000,5,1
1000,5,0
1000,5,0
1000,5,0
1000,5,0
1000,5,0
1000,5,1
1000,5,1
1000,5,1
210,5,0
210,5,0
1000,5,0
1000,5,1
1000,5,0
1000,5,0
1000,5,1
1000,5,0
1000,5,0
1000,5,0
1000,5,1
1000,5,1
1000,5,1
1000,5,1
1000,5,0
1000,5,0
1000,5,0
1000,5,1
1000,5,0
1000,5,1
1000,5,1
1000,5,1
210,5,0
1000,5,0
1000,5,1
1000,5,1
1000,5,1
1000,5,1
1000,5,1
1000,5,1
1000,5,0
1000,5,1
1000,5,1
1000,5,1
210,5,0
1000,5,0
1000,5,1
1000,5,1
1000,5,0
1000,5,1
1000,5,1
1000,5,1
1000,5,1
1000,5,1
1000,5,1
1000,5,1
1000,5,1
1000,5,0
1000,5,0
1000,5,0
1000,5,1
1000,5,1
1000,5,0
1000,5,1
1000,5,0
1000,5,0
1000,5,0
1000,5,0
1000,5,0
1000,5,0
1000,5,0
1000,5,0
1000,5,0
1000,5,0
1000,5,0
1000,5,1
1000,5,0
1000,5,0
1000,5,1
1000,5,0
1000,5,0
1000,5,1
1000,5,0
1000,5,0
1000,5,0
1000,5,0
1000,5,1
1000,5,1
1000,5,1
1000,5,1
210,5,0
1000,5,1
1000,5,1
210,5,1
1000,5,1
1000,5,1
1000,5,0
1000,5,0
1000,5,1
1000,5,1
1000,5,1
1000,5,1
1000,5,1
1000,5,1
210,5,0
1000,5,1
1000,5,0
1000,5,1
1000,5,1
1000,5,1
210,5,0
210,5,1
1000,5,1
1000,5,1
1000,5,0
1000,5,0
1000,5,0
1000,5,1
1000,5,1
1000,5,1
1000,5,1
1000,5,1
1000,5,0
1000,5,1
1000,5,0
1000,5,1
1000,5,0
1000,5,1
1000,5,1
1000,5,1
1000,5,1
1000,5,1
1000,5,0
1000,5,1
1000,5,0
1000,5,0
1000,5,0
1000,5,0
1000,5,1
1000,5,0
1000,5,1
1000,5,1
1000,5,1
1000,5,0
1000,5,0
1000,5,0
1000,5,1
1000,5,0
1000,5,0
1000,5,1
1000,5,1
1000,5,1
1000,5,0
1000,5,0
1000,5,0
1000,5,1
1000,5,1
1000,5,0
1000,5,0
1000,5,1
1000,5,1
1000,5,1
1000,5,0
1000,5,1
1000,5,1
1000,5,1
210,5,0
1000,5,1
1000,5,1
1000,5,1
1000,5,1
1000,5,0
1000,5,0
1000,5,0
1000,5,1
1000,5,0
1000,5,1
1000,5,1
1000,5,1
1000,5,0
1000,5,1
1000,5,1
1000,5,0
1000,5,0
1000,5,0
1000,5,0
1000,5,0
1000,5,0
1000,5,0
1000,5,0
1000,5,0
1000,5,0
1000,5,0
1000,5,1
1000,5,1
1000,5,0
1000,5,0
1000,5,0
1000,5,0
1000,5,1
1000,5,0
1000,5,0
1000,5,0
1000,5,0
1000,5,0
1000,5,0
1000,5,1
1000,5,1
1000,5,0
1000,5,0
1000,5,1
1000,5,0
1000,5,0
1000,5,1
1000,5,0
1000,5,1
1000,5,1
1000,5,1
1000,5,0
1000,5,0
1000,5,0
1000,5,0
1000,5,1
1000,5,1
1000,5,1
1000,5,0
1000,5,0
1000,5,0
1000,5,1
1000,5,0
1000,5,0
1000,5,0
1000,5,0
1000,5,0
1000,5,1
1000,5,0
1000,5,0
1000,5,1
1000,5,0
1000,5,0
1000,5,1
1000,5,1
1000,5,0
1000,5,0
1000,5,0
1000,5,0
1000,5,0
1000,5,1
1000,5,0
1000,5,0
1000,5,0
1000,5,1
1000,5,1
1000,5,0
1000,5,0
1000,5,0
1000,5,0
1000,5,0
1000,5,0
1000,5,1
1000,5,0
1000,5,0
1000,5,0
1000,5,0
1000,5,1
1000,5,1
1000,5,0
1000,5,0
1000,5,0
1000,5,1
1000,5,1
1000,5,1
1000,5,1
1000,5,0
1000,5,1
1000,5,0
1000,5,0
1000,5,0
1000,5,1
1000,5,1
1000,5,0
